Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,updateDate,FIPS,Admin2,Lat,Long_,Active,Combined_Key,Latitude,Longitude
,Italy,1/31/2020 23:59,2.0,,,2020-01-31,,,,,,,,
,Italy,1/31/2020 8:15,2.0,0.0,0.0,2020-02-01,,,,,2.0,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,2020-02-05,,,,,2.0,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,2020-02-04,,,,,2.0,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,2020-02-02,,,,,2.0,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,2020-02-03,,,,,2.0,,,
,Italy,2020-01-31T08:15:53,2.0,0.0,0.0,2020-02-06,,,,,2.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-18,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-19,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-12,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-13,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-08,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-09,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-20,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-15,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-14,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-07,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-11,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-10,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-16,,,,,3.0,,,
,Italy,2020-02-07T17:53:02,3.0,0.0,0.0,2020-02-17,,,,,3.0,,,
,Italy,2020-02-21T23:33:06,20.0,1.0,0.0,2020-02-21,,,,,19.0,,,
,Italy,2020-02-22T23:43:02,62.0,2.0,1.0,2020-02-22,,,,,59.0,,,
,Italy,2020-02-23T23:43:02,155.0,3.0,2.0,2020-02-23,,,,,150.0,,,
,Italy,2020-02-24T23:43:01,229.0,7.0,1.0,2020-02-24,,,,,221.0,,,
,Italy,2020-02-25T18:55:32,322.0,10.0,1.0,2020-02-25,,,,,311.0,,,
,Italy,2020-02-26T23:43:03,453.0,12.0,3.0,2020-02-26,,,,,438.0,,,
,Italy,2020-02-27T23:23:02,655.0,17.0,45.0,2020-02-27,,,,,593.0,,,
,Italy,2020-02-28T20:13:09,888.0,21.0,46.0,2020-02-28,,,,,821.0,,,
,Italy,2020-02-29T18:03:05,1128.0,29.0,46.0,2020-02-29,,,,,1053.0,,,
,Italy,2020-03-01T23:23:02,1694.0,34.0,83.0,2020-03-01,,,,,1577.0,,43.0,12.0
,Italy,2020-03-02T20:23:16,2036.0,52.0,149.0,2020-03-02,,,,,1835.0,,43.0,12.0
,Italy,2020-03-03T20:03:06,2502.0,79.0,160.0,2020-03-03,,,,,2263.0,,43.0,12.0
,Italy,2020-03-04T19:23:03,3089.0,107.0,276.0,2020-03-04,,,,,2706.0,,43.0,12.0
,Italy,2020-03-05T17:43:03,3858.0,148.0,414.0,2020-03-05,,,,,3296.0,,43.0,12.0
,Italy,2020-03-06T17:33:03,4636.0,197.0,523.0,2020-03-06,,,,,3916.0,,43.0,12.0
,Italy,2020-03-07T17:33:03,5883.0,233.0,589.0,2020-03-07,,,,,5061.0,,43.0,12.0
,Italy,2020-03-08T18:03:04,7375.0,366.0,622.0,2020-03-08,,,,,6387.0,,43.0,12.0
,Italy,2020-03-09T18:13:11,9172.0,463.0,724.0,2020-03-09,,,,,7985.0,,43.0,12.0
,Italy,2020-03-10T17:53:02,10149.0,631.0,724.0,2020-03-10,,,,,8794.0,,43.0,12.0
,Italy,2020-03-11T20:00:00,17660.0,1266.0,1439.0,2020-03-13,,,,,14955.0,,41.8719,12.5674
,Italy,2020-03-11T21:33:02,12462.0,827.0,1045.0,2020-03-11,,,,,10590.0,,43.0,12.0
,Italy,2020-03-11T21:33:02,12462.0,827.0,1045.0,2020-03-12,,,,,10590.0,,43.0,12.0
,Italy,2020-03-14T20:13:16,21157.0,1441.0,1966.0,2020-03-14,,,,,17750.0,,41.8719,12.5674
,Italy,2020-03-14T20:13:16,24747.0,1809.0,2335.0,2020-03-15,,,,,20603.0,,41.8719,12.5674
,Italy,2020-03-16T17:33:03,27980.0,2158.0,2749.0,2020-03-16,,,,,23073.0,,41.8719,12.5674
,Italy,2020-03-17T18:33:02,31506.0,2503.0,2941.0,2020-03-17,,,,,26062.0,,41.8719,12.5674
,Italy,2020-03-18T17:33:05,35713.0,2978.0,4025.0,2020-03-18,,,,,28710.0,,41.8719,12.5674
,Italy,2020-03-19T17:43:03,41035.0,3405.0,4440.0,2020-03-19,,,,,33190.0,,41.8719,12.5674
,Italy,2020-03-20T17:43:03,47021.0,4032.0,4440.0,2020-03-20,,,,,38549.0,,41.8719,12.5674
,Italy,2020-03-21T17:43:03,53578.0,4825.0,6072.0,2020-03-21,,,,,42681.0,,41.8719,12.5674
,Italy,2020-03-23 23:19:21,63927.0,6077.0,7432.0,2020-03-23,,,41.87194,12.56738,50418.0,Italy,,
,Italy,2020-03-24 23:37:15,69176.0,6820.0,8326.0,2020-03-24,,,41.87194,12.56738,54030.0,Italy,,
,Italy,2020-03-25 23:33:04,74386.0,7503.0,9362.0,2020-03-25,,,41.87194,12.56738,57521.0,Italy,,
,Italy,2020-03-26 23:48:18,80589.0,8215.0,10361.0,2020-03-26,,,41.87194,12.56738,62013.0,Italy,,
,Italy,2020-03-27 23:23:03,86498.0,9134.0,10950.0,2020-03-27,,,41.87194,12.56738,66414.0,Italy,,
,Italy,2020-03-28 23:05:25,92472.0,10023.0,12384.0,2020-03-28,,,41.87194,12.56738,70065.0,Italy,,
,Italy,2020-03-29 23:08:13,97689.0,10779.0,13030.0,2020-03-29,,,41.87194,12.56738,73880.0,Italy,,
,Italy,2020-03-30 22:52:33,101739.0,11591.0,14620.0,2020-03-30,,,41.87194,12.56738,75528.0,Italy,,
,Italy,2020-03-31 23:43:43,105792.0,12428.0,15729.0,2020-03-31,,,41.87194,12.56738,77635.0,Italy,,
,Italy,3/22/20 23:45,59138.0,5476.0,7024.0,2020-03-22,,,41.87194,12.56738,46638.0,Italy,,
